term,normalized_term,semantic_hint,category,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion,source_tier,license_status,retrieval_date,census_attested,legal_overlap,higher_ed_overlap,finance_accounting_tax_overlap,known_overlap_families
ERISA,erisa,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,ERISA,,A,US federal government source; short terminology/provenance only,2026-08-10,True,False,False,True,census|finance_accounting_tax
excepted appointment,excepted appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
exclusive representative,exclusive representative,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
extension,extension,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
Family and Medical Leave Act,family and medical leave act,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Family and Medical Leave Act,family and medical leave act,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Federal Service Impasses Panel,federal service impasses panel,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
Federal Wage System,federal wage system,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
fiduciary,fiduciary,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
first aid,first aid,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
fitness-for-duty certification,fitness-for-duty certification,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
FMLA,fmla,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,FMLA,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
FMLA,fmla,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,FMLA,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
FMLA leave,fmla leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Form 5500,form 5500,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
former employee,former employee,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
general recording criteria,general recording criteria,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
General Schedule,general schedule,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
General Schedule pay system,general schedule pay system,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
goal setting,goal setting,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
good faith bargaining,good faith bargaining,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
grade,grade,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,True,False,False,False,census
grade level,grade level,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
grade retention,grade retention,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
grievance,grievance,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
grievance,grievance,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
group health plan,group health plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
harassment,harassment,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
holiday premium pay,holiday premium pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
individual benefit statement,individual benefit statement,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
interactive process,interactive process,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
intermittent leave,intermittent leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
job applicant,job applicant,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
job grading,job grading,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
job transfer,job transfer,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
job-protected leave,job-protected leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
labor organization,labor organization,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
leave bank,leave bank,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
leave sharing,leave sharing,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
leave transfer,leave transfer,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
leave without pay,leave without pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
locality pay,locality pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
loss of consciousness,loss of consciousness,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
LWOP,lwop,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,LWOP,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
mandatory subjects of bargaining,mandatory subjects of bargaining,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
medical certification,medical certification,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
medical treatment beyond first aid,medical treatment beyond first aid,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
Merit System Principles,merit system principles,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
merit-based selection,merit-based selection,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
military caregiver leave,military caregiver leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
military leave,military leave,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
monitoring,monitoring,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
MSP,msp,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,MSP,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
nature of action,nature of action,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
nature of action code,nature of action code,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
negotiability,negotiability,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
negotiated grievance procedure,negotiated grievance procedure,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
new case,new case,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
night pay,night pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
noncompetitive action,noncompetitive action,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
Notification of Personnel Action,notification of personnel action,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
occupational family,occupational family,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
occupational group,occupational group,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
occupational series,occupational series,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
official position title,official position title,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
official time,official time,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
OSHA 300 Log,osha 300 log,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
overtime pay,overtime pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
paid leave,paid leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
paid parental leave,paid parental leave,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
participant,participant,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay plan,pay plan,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay plan code,pay plan code,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay rate,pay rate,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
