term,normalized_term,semantic_hint,source,source_url,source_family,derived_variant,collision_risk,notes
Deferred outflows of resources,deferred outflows of resources,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Degree,degree,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Degree,degree,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Degree Applicability,degree applicability,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26077,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=Course Section; category=Enrollment
Degree/certificate-seeking students,degree certificate seeking students,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Degree/certificate-seeking students (DCGS)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Degree/certificate-seeking students (DCGS),degree certificate seeking students dcgs,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Degree Major,degree major,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Degree of urbanization (urban-centric locale),degree of urbanization urban centric locale,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Degree of Visual Impairment,degree of visual impairment,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28111,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Disability
Degree or Certificate Conferring Date,degree or certificate conferring date,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26343,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Credential or License
Degree or Certificate Seeking Student,degree or certificate seeking student,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Degree or Certificate Seeking Student,degree or certificate seeking student,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26078,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment
Degree or Certificate Title or Subject,degree or certificate title or subject,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26341,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Credential or License
Degree or Certificate Type,degree or certificate type,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26342,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Credential or License
Degree Plan,degree plan,DOCUMENT_SYSTEM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Degree Program,degree program,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Degree Requirement,degree requirement,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
DegreeVerify,degreeverify,OTHER_DOMAIN_TERM,National Student Clearinghouse Compliance Central Glossary,https://help.studentclearinghouse.org/compliancecentral/knowledge-base/glossary/,Sector enrollment reporting glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Delegate,delegate,OTHER_DOMAIN_TERM,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,true,HIGH,Derived mechanically from source-attested form “Delegate (access)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Delegate (access),delegate access,OTHER_DOMAIN_TERM,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Demographic Race Two or More Races,demographic race two or more races,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26974,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Department,department,ORGANIZATION,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Department of Defense Voluntary Education Program Memorandum of Understanding,department of defense voluntary education program memorandum of understanding,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Dependency Override,dependency override,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Dependency Status,dependency status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26079,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Dependent care expenses,dependent care expenses,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Dependent Student,dependent student,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Depository Account,depository account,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Depreciation,depreciation,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Designated Department Official,designated department official,ORGANIZATION,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Destination Point,destination point,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Destination Point Administrator,destination point administrator,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,true,LOW,Derived mechanically from source-attested form “Destination Point Administrator (DPA)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Destination Point Administrator (DPA),destination point administrator dpa,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Developmental courses,developmental courses,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Developmental education,developmental education,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Developmental Education Referral Status,developmental education referral status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27567,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment
Developmental Education Type,developmental education type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27568,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment
Developmental services,developmental services,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
DHS Match Flag,dhs match flag,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
DHS Secondary Confirmation Match Flag,dhs secondary confirmation match flag,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
DIB,dib,ORGANIZATION,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,true,MEDIUM,Derived mechanically from source-attested form “Data Integrity Board (DIB)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Differs by program (calendar system),differs by program calendar system,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Diploma,diploma,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Diploma,diploma,DOCUMENT_SYSTEM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Diploma or Credential Award Date,diploma or credential award date,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26081,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=K12 Transcript
Direct Loan,direct loan,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Direct PLUS Loan,direct plus loan,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Direct Subsidized Loan,direct subsidized loan,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Direct Unsubsidized Loan,direct unsubsidized loan,OTHER_DOMAIN_TERM,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Directory Information Block Status,directory information block status,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27569,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Term Enrollment
Disability Condition Status Type,disability condition status type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27285,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Disability
Disability Condition Type,disability condition type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27286,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Disability
Disability Determination Source Type,disability determination source type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27287,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Disability
Disability services,disability services,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Disability Status,disability status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26569,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Disability
Disbursement,disbursement,PROCESS_EVENT,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Discipline,discipline,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Discounts and allowances,discounts and allowances,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Displaced Student Status,displaced student status,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26603,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Term Enrollment
Distance education,distance education,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Distance education course,distance education course,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Distance Education Course Enrollment,distance education course enrollment,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26704,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Term Enrollment
Distance education program,distance education program,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Distance Education Program Enrollment Indicator,distance education program enrollment indicator,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27289,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Program
Dividend earnings,dividend earnings,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Do Not Publish Indicator,do not publish indicator,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27905,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Doctor's degree,doctor s degree,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Doctor's degree-other,doctor s degree other,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Doctor's degree-professional practice,doctor s degree professional practice,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Doctor's degree-research/scholarship,doctor s degree research scholarship,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Doctoral Candidacy Admit Indicator,doctoral candidacy admit indicator,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27290,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Graduate Student
Doctoral Candidacy Date,doctoral candidacy date,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27291,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Graduate Student
Doctoral Exam Taken Date,doctoral exam taken date,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27292,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Graduate Student
Doctoral Exams Required Type,doctoral exams required type,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27293,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Graduate Student
Doctoral/Research Universities - Extensive,doctoral research universities extensive,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Doctoral/Research Universities - Extensive (Carnegie)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Doctoral/Research Universities - Extensive (Carnegie),doctoral research universities extensive carnegie,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term. Related item: Carnegie Classification
Doctoral/Research Universities - Intensive,doctoral research universities intensive,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Doctoral/Research Universities - Intensive (Carnegie)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Doctoral/Research Universities - Intensive (Carnegie),doctoral research universities intensive carnegie,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term. Related item: Carnegie Classification
Double Major,double major,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
DPA,dpa,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,true,MEDIUM,Derived mechanically from source-attested form “Destination Point Administrator (DPA)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
DQP Categories of Learning,dqp categories of learning,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27622,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Dual credit,dual credit,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Dual Credit Dual Enrollment Credits Awarded,dual credit dual enrollment credits awarded,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26085,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record
Dual Degree,dual degree,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Dual Degree Program,dual degree program,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Dual enrollment,dual enrollment,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Dual Major,dual major,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Duolingo,duolingo,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term. Related item: English Proficiency Test
E-books,e books,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
E-media,e media,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
E-serial,e serial,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
E12,e12,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “12-month Enrollment (E12)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
EAP,eap,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Employees by Assigned Position (EAP)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Early action,early action,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Early admission,early admission,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Early decision,early decision,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Early Drop Deadline,early drop deadline,PROCESS_EVENT,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,true,LOW,Derived mechanically from source-attested form “Early Drop Deadline (EDD)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Early Drop Deadline (EDD),early drop deadline edd,PROCESS_EVENT,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Early Registration,early registration,PROCESS_EVENT,National Student Clearinghouse Compliance Central Glossary,https://help.studentclearinghouse.org/compliancecentral/knowledge-base/glossary/,Sector enrollment reporting glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Economic Disadvantage Status,economic disadvantage status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26086,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Economically Disadvantaged
EDD,edd,PROCESS_EVENT,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,true,MEDIUM,Derived mechanically from source-attested form “Early Drop Deadline (EDD)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Education Job Type,education job type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28015,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Educational offerings,educational offerings,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
